n,standard, strassen_16, strassen_32, strassen_64
64,0.268409,0.163948,0.135707,0.09827
128,0.89708,1.35043,1.16366,0.971268
256,6.62957,8.81564,7.80622,7.32396
512,52.8022,55.9376,48.797,51.7104
1024,419.438,387.806,339.424,358.683
2048,4869.31,2656.88,2337.37,2484.25
