n,standard, strassen_16, strassen_32, strassen_64
8,0.005396,0.005346,0.005286,0.005234
16,0.032068,0.032169,0.030272,0.029745
32,0.104862,0.132107,0.103098,0.102824
64,0.805888,1.07859,0.879594,0.804648
128,6.39238,8.24671,6.76066,6.2073
256,48.5569,58.6703,48.8025,46.0105
512,383.612,411.361,342.6,324.066
1024,3056.69,2893.34,2411.88,2276.27
