n,standard, strassen_16, strassen_32, strassen_64
8,0.000517,0.000519,0.000519,0.00052
16,0.001926,0.001941,0.001946,0.001944
32,0.014195,0.020939,0.013381,0.013374
64,0.074154,0.103295,0.07752,0.033092
128,0.394592,0.9577,0.768479,0.444969
256,3.1909,6.12318,4.91806,3.87656
512,26.5606,37.9648,29.3197,23.6276
1024,214.893,255.007,205.901,157.072
