n,standard, strassen_16, strassen_32, strassen_64
8,0.000648,0.000609,0.000608,0.000609
16,0.003494,0.003756,0.00369,0.003841
32,0.02752,0.032688,0.012487,0.012453
64,0.098052,0.157209,0.131126,0.098573
128,0.884922,1.30427,1.15221,0.923434
