n,standard, strassen_16, strassen_32, strassen_64
8,0.000837,0.000838,0.000839,0.000839
16,0.005929,0.00592,0.005929,0.005921
32,0.043876,0.037795,0.041708,0.041679
64,0.317608,0.399121,0.185605,0.135119
128,0.918672,1.33706,1.4795,1.05713
256,8.89401,8.5291,9.7515,8.53994
512,51.9416,55.4504,61.1352,56.9943
1024,485.3,385.299,412.85,386.957
